Código,cuenta,precio_n_unique,precio_min_unique,precio_max_unique,precio_range_unique
D27,15,3.0,1152535.3859,1554887.3658,402351.9798999999
Z30.2,14,4.0,743712.1237,1152535.3859,408823.2622000001
O46.8,14,5.0,442650.0,929276.145,486626.145
D25.1,14,5.0,790050.0,2879882.4262,2089832.4262
K57.9,14,2.0,798450.0,1020000.0,221550.0
C61,13,4.0,847737.9874,2032629.785,1184891.7976
L02.2,13,7.0,628950.0,3693160.8351,3064210.8351
D29.1,13,6.0,847737.9874,2032629.785,1184891.7976
K55.0,12,5.0,938250.0,9416848.2886,8478598.2886
T39.3,12,4.0,606900.0,3417322.4251,2810422.4251
L02.3,12,5.0,628950.0,7156105.8008,6527155.8008
I21.2,12,4.0,877950.0,9416848.2886,8538898.2886
R55,12,2.0,773700.0,895800.0,122100.0
J44.8,12,3.0,730350.0,3417322.4251,2686972.4251
S02.00,12,4.0,993000.0,2208600.0,1215600.0
K56.6,12,8.0,712050.0,9416848.2886,8704798.2886
J12.3,12,3.0,1549200.0,9416848.2886,7867648.2886
P00.2,12,5.0,158250.0,3945300.0,3787050.0
N81.1,12,3.0,1036375.8678,1243133.3388,206757.47100000002
C23,12,4.0,1445850.0,9416848.2886,7970998.2886
N83.1,12,5.0,658950.0,2520564.474,1861614.474
R10.4,12,2.0,646050.0,821250.0,175200.0
P21.0,12,9.0,158250.0,11081850.0,10923600.0
J22,12,3.0,630450.0,1444200.0,813750.0
K82.8,12,3.0,869850.0,1855963.777,986113.777
E11.6,12,3.0,598500.0,1312950.0,714450.0
L89.9,12,8.0,728700.0,7156105.8008,6427405.8008
Z03.8,11,4.0,158250.0,1949312.0248,1791062.0248
I46.9,11,5.0,934650.0,3417322.4251,2482672.4251
T43.2,11,2.0,606900.0,744000.0,137100.0
J18.1,11,3.0,925800.0,3417322.4251,2491522.4251
K70.1,11,3.0,778500.0,1757700.0,979200.0
L90.5,11,3.0,1592744.3675,2957214.2503,1364469.8828
O33.9,11,2.0,833986.5124,1324509.7143,490523.2019000001
F25.9,11,4.0,516408.3313,1367250.0,850841.6687
D06.9,11,5.0,985050.0,2179042.5481,1193992.5480999998
K43.2,11,4.0,730800.0,5767045.0451,5036245.0451
P39.9,11,6.0,609600.0,3945300.0,3335700.0
T81.2,11,8.0,1152535.3859,9416848.2886,8264312.9026999995
J93.1,11,4.0,795900.0,3261526.3026,2465626.3026
K57.2,11,7.0,798450.0,9416848.2886,8618398.2886
I47.1,11,3.0,648750.0,1262100.0,613350.0
N84.0,11,5.0,658950.0,1818915.6855,1159965.6855
D41.0,11,4.0,769350.0,2108020.2244,1338670.2244000002
K83.0,11,5.0,869850.0,2585115.5154,1715265.5154
J21.1,10,2.0,517800.0,873150.0,355350.0
O36.4,10,6.0,483243.0092,1352659.7925,869416.7833
C34.9,10,2.0,1973550.0,6758769.0647,4785219.0647
C18.7,10,6.0,2020657.9127,5767045.0451,3746387.1323999995
I71.0,10,3.0,702450.0,1465650.0,763200.0
N80.1,10,5.0,658950.0,3693160.8351,3034210.8351
O23.1,10,1.0,442650.0,442650.0,0.0
K85.8,10,4.0,807150.0,1862400.0,1055250.0
N83.5,10,3.0,658950.0,1376118.191,717168.1910000001
F20.0,10,3.0,1023600.0,1367250.0,343650.0
